exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine,family,size,mode
0.09831200148395473,0.2380536574132384,0.11466516799015407,0.12760119881847815,0.04155811849505464,0.3053710671803223,gemma,small,few
,,,,,,comparison,small,zero
0.05342237061769616,0.07842079049749055,0.06119829864796966,0.0668265751447904,0.024012558946660052,0.2211262642816566,llama,medium,few
0.09682804674457429,0.24897553365240388,0.11420920867915858,0.12814882038529002,0.043443147312759556,0.3494477689853054,deepseek,medium,few
,,,,,,comparison,medium,zero
0.0,0.14185061549997915,0.001433827101606734,0.009524869128743825,0.00045520719745636393,0.20304985443027174,deepseek,small,zero
,,,,,,comparison,small,few
,,,,,,comparison,medium,few
0.19087367835281024,0.32542180869666437,0.21586500982635062,0.2371823038767947,0.07819187319747913,0.38841962546172,gemma,medium,few
0.0,0.119701785210744,0.005955546133620703,0.01886673890012788,0.002597324239350434,0.21460569708982452,llama,small,zero
0.0895937673900946,0.15780890188914282,0.10301531358849111,0.11477749666397413,0.03727637814651768,0.2661817498201758,gemma,small,zero
0.007234279354479688,0.16327599856312058,0.016235712059892708,0.022081149702716008,0.006515527663375568,0.2954424142480267,deepseek,small,few
0.18196994991652754,0.25047750132197233,0.20542141678062656,0.22331963146228753,0.07321598485408452,0.36530138981485216,gemma,medium,zero
0.001854943424225561,0.10881646939849891,0.014140995203004547,0.04410948454357069,0.0033608720583597216,0.1981227030997301,deepseek,medium,zero
0.0009274717121127806,0.021555519253581488,0.01175787059251312,0.0204849153778175,0.0023212494123702907,0.19446219505123383,llama,medium,zero
0.018178445557410498,0.1686158122337802,0.0431132022369293,0.06016337380628035,0.016793692088521543,0.27657268770858634,llama,small,few
